"№";"Имя";"Описание";"Позиция";"Показывать";
"24";"Диски";"";"1";"1";
"3";"Гайки и болты";"";"2";"1";
"12";"Секретки на колеса";"Решили приобрести болты секретки? Узнайте все преимущества этой защиты.Для автомобилистов важно, чтобы машина всегда была под боком. Поэтому многие из нас привыкли оставлять любимое авто прямо под окнами дома. Такая привычка к удобству дает злоумышленникам поводы для преступлений. И если автомобиль останется на месте, то колеса могут просто и быстро исчезнуть. А что такое покупка новых колес, тем более внеплановая, могут предположить все.Ставить авто на стоянку или в гараж, каждый раз когда отходите от машины? Это не совсем удобно. Куда лучше купить секретные болты, чтобы быть уверенным в безопасности колес.Болты-секретки – это специальные болты, которыми крепятся колеса. По сути, они выполняют те же функции, что и обычные крепления. Но благодаря особой форме головки, открутить такой болт можно только специальным ключом.Секретные болты могут быть разных видов, поэтому и «секреты» у каждого вида свои. Какие-то сделают снятие колес невозможным, какие-то лишь на время задержать скручивание. В любом случае, болты секретки помешают ворам сделать свое дело.Увидев у своего подъезда соседскую машину на кирпичах, многие автовладельцы начинают задумываются о защите своей. Автосигнализация сегодня стоит у каждого, но от некоторых из них нет особого прока, если речь идет о скручивании колес. Гораздо более эффективный способ защиты – гайки секретки.Секретки – а именно так чаще всего называют автолюбители хитрые крепления, могут быть двух видов. Первый – болты, которые чаще всего используют на машинах европейского производства (сюда же относятся и отечественные авто). Второй – секретные гайки.Главная функция этих хитрых деталей – предотвратить кражу. Гайки секретки имеют отличную от обычных гаек форму. Поэтому для них в комплекте идет специальный ключ. Считается, что открутить секретные гайки можно только с помощью него, от чего возникают некоторые волнения. Как быть, если ключ будет потерян или сломан? Опытные специалисты автосервиса смогут помочь, применив специальное оборудование.";"3";"1";
"13";"Центровочные кольца";"Центровочные кольца для дисков, материал из которого они производятся, необходимость их использования вызывает множество споров среди автовладельцев. Кто-то убежден, что центровочные кольца – деталь абсолютно бесполезная, и можно обойтись без них. Другие без проблем ездят с так называемыми «одноразовыми» пластиковыми центровочными кольцами. Третьи же утверждают, что центровочные кольца для дисков обязательно должны быть изготовлены из высококачественного сплава, по индивидуальным размерам.Не будем доказывать или оспаривать ни одну точку зрения. Есть другой, неопровержимый факт: колесо должно быть четко отцентровано по ступице. Смещение оси колеса даже на полмиллиметра чревато проблемами. Как минимум, это «биение» колеса во время движения или при торможении, а следственно – чрезмерная нагрузка на подвеску и ее быстрое разрушение. Наиболее серьезным последствием неправильной посадки колеса может стать его потеря во время движения на высокой скорости. Чем это грозит, все наверняка понимают.Поэтому, в споре о необходимости использования центровочных колец для дисков, можно подвести итог. Лучше потратить небольшую сумму денег на корректную установку колес, нежели потом оплачивать дорогостоящий ремонт автомобиля. А в вопросе безопасности человеческой жизни риск вообще неоправдан.";"4";"1";
"18";"Проставки";"Тюнинг колес – это не просто замена старых дисков на новые или более интересные в плане дизайна. Здесь целый полигон для действий с весьма широкими возможностями. Если купить проставки для дисков, можно добиться очень многого! Что же они из себя представляют? Проставки на колеса – это специальные диски, которые монтируются между ступицей машины и колесным диском.";"5";"1";
"20";"Шпильки";"В нашем интернет-магазине вы можете приобрести отдельно колесные шпильки различной длины и ширины посадочных мест. В ассортименте представлены резьбовые и забивные шпильки высокого класса прочности.Колесные шпильки – аксессуар для монтажа, пользующийся большим спросом. Требуются они при установке колесных дисков, при расширении колесной базы с помощью проставок и прочих вариантах тюнинга колес. Обычно шпильки поставляются в комплекте с другими элементами крепежа. Но в некоторых ситуациях, как например, установка проставок, могут понадобиться шпильки большей длины, чем штатные. К тому же, шпильки, как и другие крепежные элементы, подвергаются большим нагрузкам при неправильной фиксации колесных дисков, а также могут быть повреждены при контакте с камнями при движении автомобиля. Самостоятельная установка, без специализированного инструмента, является еще одной частой причиной поломки колесных шпилек.Не теряйте время на поиск нужных вам крепежных элементов. На нашем сайте удобная система поиска, что позволит вам приобрести товар высокого качества по разумной цене.";"6";"1";
"21";"Колпачки на колесные гайки/болты";"";"7";"1";
"25";" Наклейки на диски";"";"8";"1";
"22";"Колпачки для литых дисков";"";"9";"1";
"14";"Автоаксессуары";"";"10";"1";
"17";"Инструменты";"";"11";"1";
